Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles, Decode Stalls, NOPs, Memory Ops
1,1,1,1,1,1,3229,84,881,0
1,2,1,1,1,1,3194,86,934,0
1,2,1,1,2,1,3224,92,934,20
1,2,1,1,2,2,3205,94,934,10
1,2,1,2,1,1,3193,86,934,0
1,2,1,2,2,1,3223,92,934,20
1,2,1,2,2,2,3204,94,934,10
1,2,2,1,1,1,2967,482,1085,0
1,2,2,1,2,1,2980,471,1086,20
1,2,2,1,2,2,2965,476,1086,10
1,2,2,2,1,1,2966,482,1085,0
1,2,2,2,2,1,2980,472,1086,20
1,2,2,2,2,2,2965,477,1086,10
1,4,2,1,1,1,2696,228,1086,0
1,4,2,1,2,1,2718,229,1086,20
1,4,2,1,2,2,2701,232,1086,10
1,4,2,2,1,1,2694,229,1086,0
1,4,2,2,2,1,2715,230,1086,20
1,4,2,2,2,2,2698,233,1086,10
1,4,3,1,1,1,2701,282,1079,0
1,4,3,1,2,1,2721,281,1079,20
1,4,3,1,2,2,2705,285,1079,10
1,4,3,2,1,1,2699,283,1079,0
1,4,3,2,2,1,2718,282,1079,20
1,4,3,2,2,2,2702,286,1079,10
1,4,4,1,1,1,2701,282,1079,0
1,4,4,1,2,1,2721,281,1079,20
1,4,4,1,2,2,2705,285,1079,10
1,4,4,2,1,1,2699,283,1079,0
1,4,4,2,2,1,2718,282,1079,20
1,4,4,2,2,2,2702,286,1079,10
2,1,1,1,1,1,2498,95,907,14
2,1,1,1,1,2,2487,97,907,5
2,2,1,1,1,1,2463,109,963,13
2,2,1,1,1,2,2454,112,963,4
2,2,1,1,2,1,2475,107,963,50
2,2,1,1,2,2,2449,113,963,10
2,2,1,1,2,4,2448,113,963,5
2,2,1,2,1,1,2460,114,963,13
2,2,1,2,1,2,2452,117,963,4
2,2,1,2,2,1,2472,112,963,50
2,2,1,2,2,2,2447,118,963,10
2,2,1,2,2,4,2445,118,963,5
2,2,2,1,1,1,2287,502,1107,14
2,2,2,1,1,2,2277,503,1107,5
2,2,2,1,2,1,2304,510,1107,50
2,2,2,1,2,2,2283,526,1107,5
2,2,2,1,2,4,2283,527,1107,5
2,2,2,2,1,1,2283,505,1107,14
2,2,2,2,1,2,2273,506,1107,5
2,2,2,2,2,1,2300,512,1107,51
2,2,2,2,2,2,2279,529,1107,6
2,2,2,2,2,4,2278,529,1107,5
2,4,2,1,1,1,2088,249,1111,15
2,4,2,1,1,2,2077,250,1111,4
2,4,2,1,2,1,2101,250,1111,58
2,4,2,1,2,2,2078,257,1111,19
2,4,2,1,2,4,2075,259,1111,12
2,4,2,2,1,1,2082,250,1111,15
2,4,2,2,1,2,2071,252,1111,5
2,4,2,2,2,1,2095,251,1111,58
2,4,2,2,2,2,2072,259,1111,19
2,4,2,2,2,4,2069,260,1111,12
2,4,3,1,1,1,2042,243,1103,14
2,4,3,1,1,2,2032,246,1103,4
2,4,3,1,2,1,2054,242,1103,59
2,4,3,1,2,2,2030,249,1103,19
2,4,3,1,2,4,2028,250,1103,12
2,4,3,2,1,1,2036,245,1103,14
2,4,3,2,1,2,2027,247,1103,4
2,4,3,2,2,1,2048,243,1103,59
2,4,3,2,2,2,2024,251,1103,18
2,4,3,2,2,4,2022,252,1103,12
2,4,4,1,1,1,2041,242,1103,15
2,4,4,1,1,2,2031,245,1103,4
2,4,4,1,2,1,2052,241,1103,60
2,4,4,1,2,2,2029,249,1103,19
2,4,4,1,2,4,2026,250,1103,12
2,4,4,2,1,1,2035,244,1103,14
2,4,4,2,1,2,2025,247,1103,4
2,4,4,2,2,1,2046,243,1103,59
2,4,4,2,2,2,2023,250,1103,18
2,4,4,2,2,4,2020,251,1103,12
4,1,1,1,1,1,1547,120,901,109
4,1,1,1,1,2,1519,120,901,34
4,1,1,1,1,4,1511,121,901,12
4,2,1,1,1,1,1518,127,972,99
4,2,1,1,1,2,1497,133,972,33
4,2,1,1,1,4,1489,137,972,13
4,2,1,1,2,1,1527,130,972,256
4,2,1,1,2,2,1494,139,972,86
4,2,1,1,2,4,1483,141,972,31
4,2,1,1,2,8,1483,140,972,21
4,2,1,2,1,1,1516,131,972,101
4,2,1,2,1,2,1495,137,972,34
4,2,1,2,1,4,1486,140,972,14
4,2,1,2,2,1,1525,133,972,253
4,2,1,2,2,2,1492,142,972,85
4,2,1,2,2,4,1481,144,972,31
4,2,1,2,2,8,1481,142,972,21
4,2,2,1,1,1,1403,516,1121,100
4,2,2,1,1,2,1380,520,1121,34
4,2,2,1,1,4,1371,522,1121,12
4,2,2,1,2,1,1426,546,1123,263
4,2,2,1,2,2,1395,566,1123,89
4,2,2,1,2,4,1384,577,1123,25
4,2,2,1,2,8,1383,578,1123,21
4,2,2,2,1,1,1402,517,1121,107
4,2,2,2,1,2,1377,523,1121,33
4,2,2,2,1,4,1368,525,1121,12
4,2,2,2,2,1,1425,548,1123,269
4,2,2,2,2,2,1392,568,1123,89
4,2,2,2,2,4,1381,580,1123,24
4,2,2,2,2,8,1380,580,1123,21
4,4,2,1,1,1,1288,257,1133,109
4,4,2,1,1,2,1263,258,1133,35
4,4,2,1,1,4,1254,260,1133,13
4,4,2,1,2,1,1299,260,1140,281
4,4,2,1,2,2,1265,269,1140,99
4,4,2,1,2,4,1253,273,1140,38
4,4,2,1,2,8,1250,275,1140,27
4,4,2,2,1,1,1284,260,1133,108
4,4,2,2,1,2,1261,261,1133,35
4,4,2,2,1,4,1251,263,1133,13
4,4,2,2,2,1,1296,264,1140,285
4,4,2,2,2,2,1263,273,1140,100
4,4,2,2,2,4,1250,277,1140,37
4,4,2,2,2,8,1248,279,1140,27
4,4,3,1,1,1,1260,251,1132,112
4,4,3,1,1,2,1237,256,1132,37
4,4,3,1,1,4,1227,258,1132,15
4,4,3,1,2,1,1264,250,1132,285
4,4,3,1,2,2,1228,259,1132,90
4,4,3,1,2,4,1216,263,1132,29
4,4,3,1,2,8,1215,266,1132,22
4,4,3,2,1,1,1260,255,1132,114
4,4,3,2,1,2,1234,260,1132,37
4,4,3,2,1,4,1225,262,1132,16
4,4,3,2,2,1,1262,254,1132,287
4,4,3,2,2,2,1226,262,1132,90
4,4,3,2,2,4,1214,267,1132,28
4,4,3,2,2,8,1213,270,1132,22
4,4,4,1,1,1,1261,251,1132,115
