Contexts, Issue Width, ALUs, MULs, LSUs, Banks, Cycles,IF Stalls, NOPs, Memory Ops
4,4,3,2,1,1,5508,1063,9344,44
4,4,3,2,1,2,5487,1068,9344,14
4,4,3,2,1,4,5485,1068,9344,6
4,4,3,2,2,1,5253,50,8321,1103
4,4,3,2,2,2,4718,56,8321,22
4,4,3,2,2,4,4715,57,8321,12
4,4,3,2,2,8,4715,57,8321,12
4,4,4,1,1,1,5508,1063,9344,44
4,4,4,1,1,2,5487,1068,9344,14
4,4,4,1,1,4,5485,1068,9344,6
4,4,4,1,2,1,5253,50,8321,1103
4,4,4,1,2,2,4718,56,8321,22
4,4,4,1,2,4,4715,57,8321,12
4,4,4,1,2,8,4715,57,8321,12
4,4,4,2,1,1,5508,1063,9344,44
4,4,4,2,1,2,5487,1068,9344,14
4,4,4,2,1,4,5485,1068,9344,6
4,4,4,2,2,1,5253,50,8321,1103
4,4,4,2,2,2,4718,56,8321,22
4,4,4,2,2,4,4715,57,8321,12
4,4,4,2,2,8,4715,57,8321,12
8,1,1,1,1,1,2733,58,7272,1004
8,1,1,1,1,2,2512,72,7272,94
8,1,1,1,1,4,2500,72,7272,28
8,1,1,1,1,8,2500,72,7272,28
8,2,1,1,1,1,2987,1077,9352,967
8,2,1,1,1,2,2771,1079,9352,87
8,2,1,1,1,4,2760,1080,9352,28
8,2,1,1,1,8,2760,1080,9352,28
8,2,1,1,2,1,2920,1081,8329,1327
8,2,1,1,2,2,2644,1083,8329,99
8,2,1,1,2,4,2631,1090,8329,28
8,2,1,1,2,8,2631,1090,8329,28
8,2,1,2,1,1,2987,1075,9352,961
8,2,1,2,1,2,2771,1079,9352,87
8,2,1,2,1,4,2760,1080,9352,28
8,2,1,2,1,8,2760,1080,9352,28
8,2,1,2,2,1,2920,1081,8329,1327
8,2,1,2,2,2,2644,1083,8329,99
8,2,1,2,2,4,2631,1090,8329,28
8,2,1,2,2,8,2631,1090,8329,28
8,2,2,1,1,1,2987,1085,9352,967
8,2,2,1,1,2,2776,1086,9352,96
8,2,2,1,1,4,2760,1088,9352,28
8,2,2,1,1,8,2760,1088,9352,28
8,2,2,1,2,1,2796,1089,8329,1356
8,2,2,1,2,2,2516,1091,8329,99
8,2,2,1,2,4,2503,1098,8329,28
8,2,2,1,2,8,2503,1098,8329,28
8,2,2,2,1,1,2987,1085,9352,967
8,2,2,2,1,2,2771,1087,9352,87
8,2,2,2,1,4,2760,1088,9352,28
8,2,2,2,1,8,2760,1088,9352,28
8,2,2,2,2,1,2796,1089,8329,1356
8,2,2,2,2,2,2516,1091,8329,99
8,2,2,2,2,4,2503,1098,8329,28
8,2,2,2,2,8,2503,1098,8329,28
8,4,2,1,1,1,2981,1050,9352,995
8,4,2,1,1,2,2765,1063,9352,87
8,4,2,1,1,4,2754,1064,9352,28
8,4,2,1,1,8,2754,1064,9352,28
8,4,2,1,2,1,2668,50,8329,1405
8,4,2,1,2,2,2384,58,8329,132
8,4,2,1,2,4,2371,65,8329,58
8,4,2,1,2,8,2371,65,8329,58
8,4,2,2,1,1,2975,1050,9352,971
8,4,2,2,1,2,2765,1063,9352,87
8,4,2,2,1,4,2754,1064,9352,28
8,4,2,2,1,8,2754,1064,9352,28
8,4,2,2,2,1,2668,50,8329,1405
8,4,2,2,2,2,2384,58,8329,132
8,4,2,2,2,4,2371,65,8329,58
8,4,2,2,2,8,2371,65,8329,58
8,4,3,1,1,1,2974,1058,9352,968
8,4,3,1,1,2,2765,1071,9352,87
8,4,3,1,1,4,2754,1072,9352,28
8,4,3,1,1,8,2754,1072,9352,28
8,4,3,1,2,1,2668,58,8329,1405
8,4,3,1,2,2,2384,66,8329,132
8,4,3,1,2,4,2371,73,8329,58
8,4,3,1,2,8,2371,73,8329,58
8,4,3,2,1,1,2976,1058,9352,976
8,4,3,2,1,2,2765,1071,9352,87
8,4,3,2,1,4,2754,1072,9352,28
8,4,3,2,1,8,2754,1072,9352,28
8,4,3,2,2,1,2668,58,8329,1405
8,4,3,2,2,2,2384,66,8329,132
8,4,3,2,2,4,2371,73,8329,58
8,4,3,2,2,8,2371,73,8329,58
8,4,4,1,1,1,2976,1058,9352,976
8,4,4,1,1,2,2765,1071,9352,87
8,4,4,1,1,4,2754,1072,9352,28
8,4,4,1,1,8,2754,1072,9352,28
8,4,4,1,2,1,2668,58,8329,1405
8,4,4,1,2,2,2384,66,8329,132
8,4,4,1,2,4,2371,73,8329,58
8,4,4,1,2,8,2371,73,8329,58
8,4,4,2,1,1,2974,1058,9352,968
8,4,4,2,1,2,2765,1071,9352,87
8,4,4,2,1,4,2754,1072,9352,28
8,4,4,2,1,8,2754,1072,9352,28
8,4,4,2,2,1,2668,58,8329,1405
8,4,4,2,2,2,2384,66,8329,132
8,4,4,2,2,4,2371,73,8329,58
8,4,4,2,2,8,2371,73,8329,58
1,1,1,1,1,1,19808,58,7252,0
1,2,1,1,1,1,20861,1057,8307,0
1,2,1,1,2,1,22924,1057,8308,1037
1,2,1,1,2,2,20867,1058,8308,8
1,2,1,2,1,1,20861,1057,8307,0
1,2,1,2,2,1,22924,1057,8308,1037
1,2,1,2,2,2,20867,1058,8308,8
1,2,2,1,1,1,20853,1057,8307,0
1,2,2,1,2,1,21900,1065,8308,1037
1,2,2,1,2,2,19843,1066,8308,8
1,2,2,2,1,1,20853,1057,8307,0
1,2,2,2,2,1,21900,1065,8308,1037
1,2,2,2,2,2,19843,1066,8308,8
1,4,3,1,1,1,19772,17,8307,0
1,4,3,1,2,1,21826,1050,8299,1037
1,4,3,1,2,2,19768,1050,8299,8
1,4,3,2,1,1,19772,17,8307,0
1,4,3,2,2,1,21826,1050,8299,1037
1,4,3,2,2,2,19768,1050,8299,8
1,4,4,1,1,1,19772,17,8307,0
1,4,4,1,2,1,21826,1050,8299,1037
1,4,4,1,2,2,19768,1050,8299,8
1,4,4,2,1,1,19772,17,8307,0
1,4,4,2,2,1,21826,1050,8299,1037
1,4,4,2,2,2,19768,1050,8299,8
2,1,1,1,1,1,9918,60,7256,3
2,1,1,1,1,2,9916,60,7256,1
2,2,1,1,1,1,10442,1057,8310,3
2,2,1,1,1,2,10441,1058,8310,1
2,2,1,1,2,1,11479,1058,8312,1045
2,2,1,1,2,2,10445,1060,8312,11
2,2,1,1,2,4,10443,1060,8312,9
2,2,1,2,1,1,10442,1057,8310,3
2,2,1,2,1,2,10441,1058,8310,1
2,2,1,2,2,1,11479,1058,8312,1045
2,2,1,2,2,2,10445,1060,8312,11
2,2,1,2,2,4,10443,1060,8312,9
2,2,2,1,1,1,10438,1057,8310,3
2,2,2,1,1,2,10437,1058,8310,1
2,2,2,1,2,1,10967,1066,8312,1045
2,2,2,1,2,2,9933,1068,8312,11
2,2,2,1,2,4,9931,1068,8312,9
2,2,2,2,1,1,10438,1057,8310,3
2,2,2,2,1,2,10437,1058,8310,1
2,2,2,2,2,1,10967,1066,8312,1045
2,2,2,2,2,2,9933,1068,8312,11
2,2,2,2,2,4,9931,1068,8312,9
2,4,3,1,1,1,9898,18,8310,3
2,4,3,1,1,2,9896,18,8310,1
2,4,3,1,2,1,10928,1052,8302,1048
2,4,3,1,2,2,9894,1052,8302,14
2,4,3,1,2,4,9892,1052,8302,10
2,4,3,2,1,1,9898,18,8310,3
2,4,3,2,1,2,9896,18,8310,1
2,4,3,2,2,1,10928,1052,8302,1048
2,4,3,2,2,2,9894,1052,8302,14
2,4,3,2,2,4,9892,1052,8302,10
2,4,4,1,1,1,9898,18,8310,3
2,4,4,1,1,2,9896,18,8310,1
2,4,4,1,2,1,10928,1052,8302,1048
2,4,4,1,2,2,9894,1052,8302,14
2,4,4,1,2,4,9892,1052,8302,10
2,4,4,2,1,1,9898,18,8310,3
2,4,4,2,1,2,9896,18,8310,1
2,4,4,2,2,1,10928,1052,8302,1048
2,4,4,2,2,2,9894,1052,8302,14
2,4,4,2,2,4,9892,1052,8302,10
4,1,1,1,1,1,4988,61,7264,36
4,1,1,1,1,2,4975,64,7264,14
4,1,1,1,1,4,4973,64,7264,6
4,2,1,1,1,1,5260,1046,8316,48
4,2,1,1,1,2,5236,1060,8316,12
4,2,1,1,1,4,5234,1060,8316,6
4,2,1,1,2,1,5764,1060,8320,1101
4,2,1,1,2,2,5237,1063,8320,24
4,2,1,1,2,4,5234,1064,8320,14
4,2,1,1,2,8,5234,1064,8320,14
4,2,1,2,1,1,5260,1046,8316,48
4,2,1,2,1,2,5236,1060,8316,12
4,2,1,2,1,4,5234,1060,8316,6
4,2,1,2,2,1,5764,1060,8320,1101
4,2,1,2,2,2,5237,1063,8320,24
4,2,1,2,2,4,5234,1064,8320,14
4,2,1,2,2,8,5234,1064,8320,14
4,2,2,1,1,1,5258,1046,8316,50
4,2,2,1,1,2,5234,1060,8316,12
4,2,2,1,1,4,5242,1059,8316,10
4,2,2,1,2,1,5508,1068,8320,1101
4,2,2,1,2,2,4981,1071,8320,24
4,2,2,1,2,4,4978,1072,8320,14
4,2,2,1,2,8,4978,1072,8320,14
4,2,2,2,1,1,5258,1046,8316,50
4,2,2,2,1,2,5234,1060,8316,12
4,2,2,2,1,4,5232,1060,8316,6
4,2,2,2,2,1,5508,1068,8320,1101
4,2,2,2,2,2,4981,1071,8320,24
4,2,2,2,2,4,4978,1072,8320,14
4,2,2,2,2,8,4978,1072,8320,14
4,4,3,1,1,1,4981,16,8316,46
4,4,3,1,1,2,4965,19,8316,16
4,4,3,1,1,4,4962,19,8316,7
4,4,3,1,2,1,5506,1056,8308,1134
4,4,3,1,2,2,4962,1056,8308,33
4,4,3,1,2,4,4957,1056,8308,20
4,4,3,1,2,8,4957,1056,8308,20
4,4,3,2,1,1,4981,16,8316,46
4,4,3,2,1,2,4965,19,8316,16
4,4,3,2,1,4,4962,19,8316,7
4,4,3,2,2,1,5493,1056,8308,1111
4,4,3,2,2,2,4962,1056,8308,33
4,4,3,2,2,4,4957,1056,8308,20
4,4,3,2,2,8,4957,1056,8308,20
4,4,4,1,1,1,4981,16,8316,46
4,4,4,1,1,2,4965,19,8316,16
4,4,4,1,1,4,4962,19,8316,7
4,4,4,1,2,1,5493,1056,8308,1111
4,4,4,1,2,2,4962,1056,8308,33
4,4,4,1,2,4,4957,1056,8308,20
4,4,4,1,2,8,4957,1056,8308,20
4,4,4,2,1,1,4981,16,8316,46
4,4,4,2,1,2,4965,19,8316,16
4,4,4,2,1,4,4962,19,8316,7
4,4,4,2,2,1,5493,1056,8308,1111
4,4,4,2,2,2,4962,1056,8308,33
4,4,4,2,2,4,4957,1056,8308,20
4,4,4,2,2,8,4957,1056,8308,20
8,1,1,1,1,1,2732,58,7272,1007
8,1,1,1,1,2,2512,72,7272,94
8,1,1,1,1,4,2500,72,7272,28
8,1,1,1,1,8,2500,72,7272,28
8,2,1,1,1,1,2798,34,8312,1270
8,2,1,1,1,2,2512,52,8312,85
8,2,1,1,1,4,2501,56,8312,28
8,2,1,1,1,8,2501,56,8312,28
8,2,1,1,2,1,2788,33,8320,1348
8,2,1,1,2,2,2514,35,8320,110
8,2,1,1,2,4,2499,35,8320,36
8,2,1,1,2,8,2499,35,8320,36
8,2,1,2,1,1,2798,34,8312,1270
8,2,1,2,1,2,2512,52,8312,85
8,2,1,2,1,4,2501,56,8312,28
8,2,1,2,1,8,2501,56,8312,28
8,2,1,2,2,1,2788,33,8320,1348
8,2,1,2,2,2,2514,35,8320,110
8,2,1,2,2,4,2499,35,8320,36
8,2,1,2,2,8,2499,35,8320,36
8,2,2,1,1,1,2798,42,8312,1270
8,2,2,1,1,2,2512,60,8312,85
8,2,2,1,1,4,2501,64,8312,28
8,2,2,1,1,8,2501,64,8312,28
8,2,2,1,2,1,2786,1057,8320,1335
8,2,2,1,2,2,2513,1059,8320,110
8,2,2,1,2,4,2498,1059,8320,36
8,2,2,1,2,8,2498,1059,8320,36
8,2,2,2,1,1,2798,42,8312,1270
8,2,2,2,1,2,2512,60,8312,85
8,2,2,2,1,4,2501,64,8312,28
8,2,2,2,1,8,2501,64,8312,28
8,2,2,2,2,1,2786,1057,8320,1335
8,2,2,2,2,2,2513,1059,8320,110
8,2,2,2,2,4,2498,1059,8320,36
8,2,2,2,2,8,2498,1059,8320,36
8,4,3,1,1,1,2792,33,8312,1269
8,4,3,1,1,2,2505,40,8312,96
8,4,3,1,1,4,2491,40,8312,28
8,4,3,1,1,8,2491,40,8312,28
8,4,3,1,2,1,2662,56,8304,1510
8,4,3,1,2,2,2377,58,8304,142
8,4,3,1,2,4,2363,57,8304,68
8,4,3,1,2,8,2363,57,8304,68
8,4,3,2,1,1,2796,33,8312,1278
8,4,3,2,1,2,2505,40,8312,96
8,4,3,2,1,4,2491,40,8312,28
8,4,3,2,1,8,2491,40,8312,28
8,4,3,2,2,1,2662,56,8304,1510
8,4,3,2,2,2,2376,57,8304,139
8,4,3,2,2,4,2363,57,8304,68
8,4,3,2,2,8,2363,57,8304,68
8,4,4,1,1,1,2792,33,8312,1269
8,4,4,1,1,2,2505,40,8312,96
8,4,4,1,1,4,2491,40,8312,28
8,4,4,1,1,8,2491,40,8312,28
8,4,4,1,2,1,2662,56,8304,1510
8,4,4,1,2,2,2376,57,8304,139
8,4,4,1,2,4,2363,57,8304,68
8,4,4,1,2,8,2363,57,8304,68
8,4,4,2,1,1,2792,33,8312,1269
8,4,4,2,1,2,2505,40,8312,96
8,4,4,2,1,4,2491,40,8312,28
8,4,4,2,1,8,2491,40,8312,28
8,4,4,2,2,1,2662,56,8304,1510
8,4,4,2,2,2,2376,57,8304,139
8,4,4,2,2,4,2363,57,8304,68
8,4,4,2,2,8,2363,57,8304,68
